week_end,entry,exp,short_k,wing_k,credit,settle,payout,pnl,bid_size,dist_pct
2018-08-17,2018-08-13,2018-08-17,2755.0,2705.0,0.7,2850.1298828125,0.0,67.36,294,0.027628765419386192
2018-08-24,2018-08-20,2018-08-24,2770.0,2720.0,0.55,2874.68994140625,0.0,52.36000000000001,1097,0.02811446709699702
2018-08-31,2018-08-27,2018-08-31,2795.0,2745.0,0.24999999999999994,2901.52001953125,0.0,22.359999999999992,955,0.02772123012587125
2018-09-07,2018-09-04,2018-09-07,2820.0,2770.0,0.5499999999999999,2871.679931640625,0.0,52.35999999999999,300,0.028095625390315185
2018-09-14,2018-09-10,2018-09-14,2795.0,2745.0,0.4,2904.97998046875,0.0,37.36,480,0.026702116345123754
2018-09-21,2018-09-17,2018-09-21,2825.0,2775.0,0.4,2929.669921875,0.0,37.36,732,0.02753202466333154
2018-09-28,2018-09-24,2018-09-28,2850.0,2800.0,1.0499999999999998,2913.97998046875,0.0,102.35999999999999,227,0.02719416316497899
2018-10-05,2018-10-01,2018-10-05,2835.0,2785.0,0.24999999999999994,2885.570068359375,0.0,22.359999999999992,240,0.027103817115464564
2018-10-12,2018-10-08,2018-10-12,2805.0,2755.0,2.0,2767.1298828125,37.8701171875,-3589.65171875,64,0.027921716142967918
2018-10-19,2018-10-15,2018-10-19,2690.0,2640.0,5.700000000000001,2767.780029296875,0.0,567.3600000000001,29,0.027873604087606287
2018-10-26,2018-10-22,2018-10-26,2690.0,2640.0,4.9,2658.68994140625,31.31005859375,-2643.645859375,40,0.02810195480622576
2018-11-02,2018-10-29,2018-11-02,2585.0,2535.0,3.0999999999999996,2723.06005859375,0.0,307.35999999999996,66,0.02771663602385823
2018-11-09,2018-11-05,2018-11-09,2650.0,2600.0,4.9,2781.010009765625,0.0,487.36000000000007,41,0.026830131183915154
2018-11-16,2018-11-12,2018-11-16,2705.0,2655.0,4.6,2736.27001953125,0.0,457.35999999999996,77,0.027331800136897347
2018-11-23,2018-11-19,2018-11-23,2660.0,2610.0,2.8000000000000003,2632.56005859375,27.43994140625,-2466.634140625,41,0.02787371823206096
2018-11-30,2018-11-26,2018-11-30,2560.0,2510.0,1.35,2760.169921875,0.0,132.36,52,0.02756254633465412
2018-12-07,2018-12-03,2018-12-07,2685.0,2635.0,1.5,2633.080078125,50.0,-4852.64,6,0.027233802266759224
2018-12-14,2018-12-10,2018-12-14,2560.0,2510.0,8.3,2599.949951171875,0.0,827.3600000000001,20,0.02775459764104093
